資源標題,年級,科目/單元,資源連結,doctype,內文
翰林六上預習單結構單,,,https://lookaside.fbsbx.com/file/%E7%BF%B0%E6%9E%97%E5%85%AD%E4%B8%8A%E9%A0%90%E7%BF%92%E5%96%AE%E7%B5%90%E6%A7%8B%E5%96%AE.rar?token=AWyeMbOk2yYUHVVajcisnV5p2SrZZRSRGWSdm8G6jWjnwGIfjjlTwcEFB-_kZQ_rfvEKCG1LcU32sNpYTwRjED5dGEA5B6sKbRh2c4TaV0Gw684VDwgxnpgzOycCh8z147R353kQksWBrZYODaLtl5_AYJEVagcPSlZuCFfmCXDWjLoarfVPjV28vWPq3hplrJ8,rar,"快開學了，
這是「103學年度翰林國語六上課文分析、預習單與結構單」，
與老師們分享。

這兩年來的教學都是吸收溫美玉老師的菁華，
跟著溫老師學習，
我不斷成長，
孩子們也跟著進步，
美玉老師說：「做，就對了！」「寫，就對了！」
老師們，
做吧！

有空可以到我的部落格「風箏之家」看看，
經過兩年的學習，
六年級的孩子寫作大爆發，
有一些教學記錄，
參考！參考！

http://f600108.pixnet.net/blog/post/426593111"
翰林三上課文分析,,,https://lookaside.fbsbx.com/file/%E7%BF%B0%E6%9E%97%E4%B8%89%E4%B8%8A%E8%AA%B2%E6%96%87%E5%88%86%E6%9E%90.rar?token=AWydeeYZvCeROBguIS39oO67yCqzSA7rnMv3nyDi4N8QGdLBZIlv4-O5Lnmdref4YgzbbrCO85HJ7FtgvMGcd7hWhP3a8l40GfHQJ59bH40MUKhus65uMS8XCepn8nYf6gQZ5ODTMiVhOo_Z_EotH27khsVJyJ4speByXKkXstIbjtGe5sTGxFX0JIFxp1aB1J4,rar,"這是我之前做的
跟大家分享
剛開始學生還不熟悉何謂課文分析
所以會用較多的文字引導提示
孩子熟悉之後
開始慢慢放手
只留下標題
內容大家在上課時共同討論
到了三下
孩子不需要課文分析單
上課時我們一起共作
孩子可以自己畫表格做整理囉！"
103四上翰林國語預習單,,,https://lookaside.fbsbx.com/file/103%E5%9B%9B%E4%B8%8A%E7%BF%B0%E6%9E%97%E5%9C%8B%E8%AA%9E%E9%A0%90%E7%BF%92%E5%96%AE.rar?token=AWwZwaTZ8DiY5u0aTC1JB4QpCzj8nF3LaGsWXcOw3lxQMra-xUMoDkP20fgBmo17cO7Q70rPsz_ZmKr77AxAgsSPDUMwnvrp2okY0bh69BafDg4_u4mY7na__csl8AvzEt5Cy6k8_n9guZyQJp0aSNQmZJfznWoUB6rQ-IyDWYFVeIhkBzZ26vb2gDAXtCAxWGY,rar,"過去一年感謝大家無私的分享！

翰林國語四年級上學期（103學年度）相關的預習單！

預習單內容亦有參考版上老師的資料而再修改過，

歡迎大家下載，再修改成更適合自己的學習單唷！"
"四下國語(表格,預習單)",,,https://lookaside.fbsbx.com/file/%E5%9B%9B%E4%B8%8B%E5%9C%8B%E8%AA%9E%28%E8%A1%A8%E6%A0%BC%2C%E9%A0%90%E7%BF%92%E5%96%AE%29.rar?token=AWxaHGWLgSsvB_npykX3vuh1JFdQQQ9B6RYeYA58sYE3R_Pn0gCzeDLNZ3epWeRBllk6Dx0-TIbYSpdQvsWUZxoY7oIi3c3S3vb83w9Y-cG3_SURAAPlywy52pwRr9tyY8bn0ztsOM5gGeXyWgOiZRCJtojDvnP2d9PhhfxJuzJ6AyJK_opuoIWWIeHyaw_GTKI,rar,"這是翰林國語四年級(下)學期相關的課文分析,表格或是預習單!
 (再把它整理一次供大家參考)"
"四上國語(表格,預習單)",,,https://lookaside.fbsbx.com/file/%E5%9B%9B%E4%B8%8A%E5%9C%8B%E8%AA%9E%28%E8%A1%A8%E6%A0%BC%2C%E9%A0%90%E7%BF%92%E5%96%AE%29.rar?token=AWxEud_soL_nCKxlvqaQm9Ty4QgFye4N2VS6qJE9Fu9xq7FzjUGON6iH32MehqBCLrypSWkgMZjsfM0U_aRCSZSDlRZX9h-kJ1_cpmSs3qV-QFi7n3SuO2McUCV5u0V1Q3zMPIgp2NGIHt-5MSuiNvvuJbrH8xzbeTtcgkb8wNnUCSDqzpWROuAONI3HwHf7khI,rar,"這是翰林國語上學期相關的課文分析,表格或是預習單!
(再把它整理一次供大家參考)
ps.有些課文當時沒有做分析,不好意思啦!不過也希望如果是用翰林版國語的老師們,如果您有資料,也歡迎分享喔!"
評量命題,,,https://lookaside.fbsbx.com/file/%E8%A9%95%E9%87%8F%E5%91%BD%E9%A1%8C.zip?token=AWwzfapfjVz40xjkRy4ZRueO0GhPO1-b0QvQDRA1gcdr_eV9S6w6Y1fQHLKUSW-lA-iTUQqImfNbWBEvQyWVIXGENzf3dBGC0nrxFjWXMQmeBhxDV6Llef_OW-8ENVTBmflPtA6kGMB7sE2ZtingLqsukHqF4hL6iE0l2YpNchwxcl_0Ev0LlNFCvedzBESwY6I,zip,錯誤百出的國語命題，若欲引用請先校正。
三下翰林數學第九單元小數,,,https://lookaside.fbsbx.com/file/%E4%B8%89%E4%B8%8B%E7%BF%B0%E6%9E%97%E6%95%B8%E5%AD%B8%E7%AC%AC%E4%B9%9D%E5%96%AE%E5%85%83%E5%B0%8F%E6%95%B8.zip?token=AWx9xrjbXWUCrHGM-sjiOh5tH6a3F8AZN7nDeXrIv5XxVlsq_Vi3Gmd9zYZjozSjs-awCG4oYBs_hmphO1c4EOf9vK74emQW9ZogoMLBt9NmtL4j8kDqX_m6wlOFr7pjUE_8h1VGablh4XUytQqcEcnQpqSYGx2DwF3CMJKEzxoaN_V6xijREUBcA-0Jfx4CQMk,zip,三下翰林數學第九單元講義
數學,,,https://lookaside.fbsbx.com/file/%E6%95%B8%E5%AD%B8.zip?token=AWyiTPPJwGIFZWCcF08pL-bZlyX5lfnKrPtFhvWOAIf-TEGOSaJtH1cEgUwJfPrCQZsnnoikZV4d9SiG0_gLNUEXxAd-rO-QfTDLT6NTGy71vN7pLJh2cDnKA9oGKTTwuTE5oiJ3gbzMBvdLlAuijxjcuPhZCGi7ZYtNJbilUitM-UScI6PZoUjQqk_6WtEHGwI,zip,三下翰林數學第八單元講義，有些題目一張紙有三個題目的可能要放大才夠寫，如果是只有兩個題目就不用放大
孫悟空三借芭蕉扇--閱讀單(世一版),,,https://lookaside.fbsbx.com/file/%E5%AD%AB%E6%82%9F%E7%A9%BA%E4%B8%89%E5%80%9F%E8%8A%AD%E8%95%89%E6%89%87--%E9%96%B1%E8%AE%80%E5%96%AE%28%E4%B8%96%E4%B8%80%E7%89%88%29?token=AWzqMG6ImnfqbK40geRiYxuTcHCognjQbc5ck0v_SdnlEAr-ylzUDSwyYdoV_HVulyrp4bTzJDBkg1LaycCOdQZ_cOJavje84JSTGJJa8LHM8AeXtBgPkmNs8F2b7kz3SZqMxxxQJw6uN2mgM1b7gxZiGqrMlnW3dB5Y81wMFqEBp6-dqyJjWVFO3jXVdnDjxnI,孫悟空三借芭蕉扇--閱讀單(世一版),孫悟空三借芭蕉扇--閱讀學習單
L11湖光山色,,,https://lookaside.fbsbx.com/file/L11%E6%B9%96%E5%85%89%E5%B1%B1%E8%89%B2.rar?token=AWxyBKI9povKkuUHB8dmzhe9qFMReKBGOcva1pakEGzGMSqvLaYH2Dc1EDkznrKnHjfybbG1rV5cXlwNo-AvSfV5Jzy5xdoY42oFPvPkizWwf2QTQjT4UsiQmmlGOWyOYEtzWjiIPZGT7zuCbCJpUYHGAl7k8WqB7yLQZ4O5iDDxM3FYhYitwTsQrLzV_ply86w,rar,康軒五下L11湖光山色  學單
探索四草綠色隧道預習單,,,https://lookaside.fbsbx.com/file/%E6%8E%A2%E7%B4%A2%E5%9B%9B%E8%8D%89%E7%B6%A0%E8%89%B2%E9%9A%A7%E9%81%93%E9%A0%90%E7%BF%92%E5%96%AE?token=AWx_bIy0p4aaaZJXFdfVhxBvakfJy28xv3Oh4sr-qUL87oZzV4KuOAjhYra8_DdVTcca6uc-wzfufn6gn6XlWoryZDK19bMwWBEJQi77LHg1FFuKAt3ZUWAs4r86gg5ZQCNYTFMZvMVepn3SRQZtmoW6JooqbfYAe6Lub-F3rCUTwgagOPfi7EGaLSq34DSTraI,探索四草綠色隧道預習單,翰林國語四下閱讀樂園一(探索四草綠色隧道)--預習單
筆記教學,,,https://lookaside.fbsbx.com/file/%E7%AD%86%E8%A8%98%E6%95%99%E5%AD%B8.zip?token=AWwLDFzXcHsqPfXI-293TUHaDwL5UD3Z31XTKRsb0Ksh8NZ9WjOoym7G4Y_TCIQVMkmzbC5CRG4WcqiQLyLRV5jQ5ucBtU7d2o42zUT1ATkdyhX6zoUq8QQ3NNqSdpsE-kuohXrJeD4tKnOSzIadliANMzL_OjXzeBgr--_g4PR9rtAHlQWOckLnOXvUuBdl1u8,zip,筆記教學--以筆記教學為核心的社會課(配合各式表格練習與概念構圖分析)
作文講義,,,https://lookaside.fbsbx.com/file/%E4%BD%9C%E6%96%87%E8%AC%9B%E7%BE%A9.zip?token=AWwOlca0C0BIUjAkrLE2-81WExMh4JQFBrzp5w12v4i1j6MRTVF-JbsDlQf_2iPR-2Jw1kd7jHblfw2U7HD9yGPlZzXNKZgnmFLhDXXnCzqGDe1RoJws5Fy4PitaDfEAti9ZybfxDcTSvLhi4P8-e7dlyVxmzuiGckDktYCYXeL4C3fgKgmJMorpEE4cssLkw6Q,zip,作文講義
打擊錯別字大作戰,,,https://lookaside.fbsbx.com/file/%E6%89%93%E6%93%8A%E9%8C%AF%E5%88%A5%E5%AD%97%E5%A4%A7%E4%BD%9C%E6%88%B0.rar?token=AWypdw_B43BaAix-UgKOQL8e8WL-T_FBeHuXkUu8wCw5IoiUSBTHj4NVVcsKZn-x4Mmkdbes1UBX4jzUFLR8IfTu_pMkgVj2wjI8GoehO4xFfYhBIa1R1r95vuVF81H_G__6_b0RA1s5G_lmMKM2Jyaf08OsvYr51jp_cQMyA6bUyOjQgNe28BuBKK738zZ7FwQ,rar,"運用溫老師""打擊錯字大作戰""的概念
設計為兩次的活動

第一次從課文的作者補充介紹出發
讓孩子們對錯別字有感覺
再讓孩子們思考自己寫錯字的原因
及因應對策

第二次透過提示單
讓孩子們在小日記中寫
""給錯別字的告別信""

在書寫時
孩子們能停下來稍微思考
並且查閱字典
同時也會反覆閱讀檢查

這些雖然都是老生常談
但透過自己的覺察
果然比較有效
雖然成果仍有錯字
但至少是個值得紀念的開始......"
三下翰林567課比較閱讀-有你真好,,,https://lookaside.fbsbx.com/file/%E4%B8%89%E4%B8%8B%E7%BF%B0%E6%9E%97567%E8%AA%B2%E6%AF%94%E8%BC%83%E9%96%B1%E8%AE%80-%E6%9C%89%E4%BD%A0%E7%9C%9F%E5%A5%BD.zip?token=AWzvErNNS8kUN1lWxf3KKrY19OMvSyGx6_KjR_srxnONGusJLf5Vkdj6ZzVZg19BumDj5Li4yoF8D7pEPMmZUJdZ7gBBSY7qUeHSpgUvBgKEGiiWc_yiiJSViml47JRjxLwaIF7ctW6Qvr23gA82V7pt-iZ_kYa_qz4kGah2kZk8P98eJ6TGjhFAo7iopOGkBQg,zip,比較閱讀-翰林3下「有你真好」第5-7課
康軒國語預習單(六上7~14課+六下1~2課),,,https://lookaside.fbsbx.com/file/%E5%BA%B7%E8%BB%92%E5%9C%8B%E8%AA%9E%E9%A0%90%E7%BF%92%E5%96%AE%28%E5%85%AD%E4%B8%8A7~14%E8%AA%B2%2B%E5%85%AD%E4%B8%8B1~2%E8%AA%B2%29.zip?token=AWyr6KfeC3G4cezA_hoJAsDRyrN3L72rOVH5tH0uadPFzSPUSfP3FnSAXaN0gO4G1m2M3GPrWlLbj4rdmgXvN147I7pHqsW9jQv6f6jBAMJYiF532ergNwVNv6gema-5iCEWpfvXDU6mZJ0MZNhXq3zeERtwUa3udVBT2LVARDXnAXgxYblLGyOwOINEy2dM9YM,zip,"每次看溫老師的PO文，總會激勵一下自己怠惰的心......感謝溫老師，不藏私的給予分享。潛水很久，也來獻醜一下：提供六上康軒國語7~14課的預習單，以及六下第一課和第二課預習單，因為學生程度在閱讀理解較弱，加上不喜歡和課文培養感情，所以原本一~六課採用葉育涵老師的預習單，發現孩子寫得七零八落，因此著手修改重做預習單，提供有需要的老師參考。歡迎各位老師給予指教。
PS.溫老師，我是你以前帶過的大四教學實習生喔！很幸運，從你身上學到很多，直至今日仍受用不少。"
寒假作業,,,https://lookaside.fbsbx.com/file/%E5%AF%92%E5%81%87%E4%BD%9C%E6%A5%AD.rar?token=AWyFeIOD1pTvHOuKxN35KnT4ptz7z_MF3rTnTHn5_zwT96D49hz91wohp3CqBS7_oJe4t1Fh0QymMW2GUsfIMwKY2d0wWj1o3aoy8NeYAa23BNrc_IugSQS__XjVDLobhaOpuP7bpDfgmeR3zsFOMvjmM7BN7BP00m5m2VCEPdlzvs50zuupuoZNcLuWq86oaEU,rar,"各位備課趴的夥伴大家好，小弟又來了！
又到了開始要思考寒假作業的時刻！
這次是拋磚引玉來的。

請讓我稍微偷懶一下，再把今年暑假跟寒假的東西拿出來再次使用，
這裡面總共有四個檔案

1.畫我年菜－就畫出一道年菜
這是第一年帶班的版本，所以只有畫，
其實可以畫寫合一，今年我就要來個畫寫合一
－畫我年菜，話我年菜－
(哇哈哈，語帶雙關，帶入說明文！)

2.型男美女大主廚－親子共同做菜
這是第二年的暑假，就不是只有畫而已喔，還需要把這道菜學起來，
因為本人愛煮菜，所以也給家長一個真正需要跟孩子一起的作業，
最後當然還要家長的回饋才算數啦！
當然畫寫合一的素材就是
－第一次做菜就上手－
(做菜的步驟跟材料，應用文？
第一次做菜的過程與心情，記敘文？)

3.與你分享－就是遊記簡單版
這也是第一年帶班時的版本，所以只有貼照片+一句話
我喜歡看孩子與我分享的點滴，所以請孩子用照片跟我分享喜悅
這當然也是一個寫作好素材喔！

4.我的遊記－就是遊記加強版
第二年當然要升級款啦！加上摹寫句型的套用，還有分段簡單大綱。
其實這引導還是不夠完整，應該可以加上每一段的想法去引導句型，
應該適用情境產出句子，而不是用修辭產出，這也是當年的迷思！

雖然不盡完美，歡迎各位老師修改運用！

我會努力產出103更新版再次上傳的，
各位趴友們，今年繼續來個寒假作業文章串吧！"
20141003 溫老師備課Party-新手上路,,,https://lookaside.fbsbx.com/file/20141003%20%E6%BA%AB%E8%80%81%E5%B8%AB%E5%82%99%E8%AA%B2Party-%E6%96%B0%E6%89%8B%E4%B8%8A%E8%B7%AF.pps?token=AWzDK1QV0jtYLo_JyjiiYqTZmYJR1aBBs2WDvI1c53UySx-chJPIlWkr81zWsVS5EipHLl-2E8RFrSxQwxEERO696oYX50j8pNmnFVCwqaC79cnvpKWth5JBqi9Kt-TAu3S9VV4OBh8DqLT6Y_V8Bn3XKSrqZmPMaXSNi92iiAHMThBNZTRKQ_hpiCVelgifXF8,pps,"邀請所有備課趴的老師們/家長先閱讀新手上路，以了解備課趴的作業，謝謝老師們/家長的配合。

溫老師協作平台 https://sites.google.com/a/nkes.tyc.edu.tw/teacher_wen/home

溫老師備課趴雲端硬碟

1. 備課資料https://drive.google.com/folderview?id=0B-5rEJweM68SSHNFYmNVQUpIZWs&usp=drive_web

2. 實作分享https://drive.google.com/folderview?id=0B-5rEJweM68SMUtfbmhtOEZJWGs&usp=drive_web

3. 眾師分享https://drive.google.com/folderview?id=0B-5rEJweM68ST2dWdEYtYjJfUDg&usp=drive_web"
郭玉慧讀報活動4,,,https://lookaside.fbsbx.com/file/%E9%83%AD%E7%8E%89%E6%85%A7%E8%AE%80%E5%A0%B1%E6%B4%BB%E5%8B%954.zip?token=AWxTp600WH_qXGXFtM-VmHCXOcdRaPr8in5HV8h0MkKrYSAQHqPBwcXTIIeFA-7glhp5Q4ZjyM0bOLfAv5Zky6hTtwLlXM6RWg8PFDcUQtqHmA82bhNXKpvkMFbS0ZFFAaEc5xT5BQmPOrFgyDRm4zxDMUQf-8waett6448NKmhOOBir9t3SZ2etiuInvBbEp6E,zip,"發現檔案太大了,總共分成四個囉!"
郭玉慧讀報活動1,,,https://lookaside.fbsbx.com/file/%E9%83%AD%E7%8E%89%E6%85%A7%E8%AE%80%E5%A0%B1%E6%B4%BB%E5%8B%951.zip?token=AWwl2LJFf5oH5ohiQPj8fdt1fqxgqf2xq-vbfymLwS5BfHMgoD4AQvVa267iPJg8Obf1NnSKzjrxqPkhsC7GMqbSp67KckbizhylpVuUXp-K27kmIee_C-0LjJbfN7K8pLBPssOv1VdzM3i2zPNU2hsztuw37Nb8BpDeb8GSEuzso7fC92YrM0bitEU0yDGe1qA,zip,"看了怡辰老師的讀報分享,我也來分享我的讀報啟蒙老師--郭玉慧講師的一些讀報資料,我的讀報課程最基本的都是從這裡起步的,之前玉慧老師都有分享在他的部落格中,但現在好像找不到了,就將我以前存的資料給大家參考囉!不過我沒有像怡辰老師這麼厲害記錄自己的教學流程,只有玉慧老師的簡單解說,但應該也可以讓大家趕快上手囉!檔案有點大分散個資料夾分享,也順便讓我們偉大的孕婦怡辰老師喘口氣休息一下囉!"
