資源標題,年級,科目/單元,資源連結,doctype,內文
1-100的質數,,,https://drive.google.com/a/junyiacademy.org/file/d/1NKBrAJkikYShvgS1v80OKSZtJVEcrtnT/view?usp=drivesdk,pptx,大部分老師都分享國語，然後我真的忍不住想分享前幾天去上課學的數學，做了一個1-100的互動表格，可以用在因數、倍數，也可以用在質數上，大家可以參考著使用。另外還有一個圓面積的投影片(在留言處)，大家也可以參考一下，再給慧照一點建議吧!
預習作業+說明,,,https://drive.google.com/a/junyiacademy.org/file/d/1BWfAQ7YlZTh2GPQCX9BxRLpZXfOzdclG/view?usp=drivesdk,docx,取之於溫老師備課趴太多，回饋太少，因此.....小小貢獻康軒版二上課文預習單，請多指教~
2上康軒課文預測單,,,https://drive.google.com/a/junyiacademy.org/file/d/1x61y21YsZb1cIj5cB-D5V9fm8lLgfdCG/view?usp=drivesdk,docx,取之於溫老師備課趴太多，回饋太少，因此.....小小貢獻康軒版二上課文預測單，請多指教~
人格特质卡简体更新,,,https://drive.google.com/a/junyiacademy.org/file/d/1S6qmbPrDq4HYY8u0EDOTx7Z8XwlDlc4S/view?usp=drivesdk,pdf,老師們好！感謝林佩真老師上回分享的人格特質卡。我為新加坡孩子做了個簡體字版，不過我斗膽改了其中一幅圖，並且加了兩個特質。這次我沒有加漢語拼音或英文，因為有圖片，孩子們應該能看得懂。
理解篇章的解构分析方式,,,https://drive.google.com/a/junyiacademy.org/file/d/1L3rihQYlBzfoeMWzDl8U7RW4_-aWbH22/view?usp=drivesdk,pdf,各位老師好！我是新加坡天磊文化企業的楊慧青老師。今天是我們學校其中一位主管生日，我又來分享了。今天分享的是我為新加坡孩子列出來的，希望能幫助他們解讀理解篇章的一些要點。我讀書不多，希望老師們可以多多給意見！
康軒六上第一課朱子治家格言選 回饋單,,,https://drive.google.com/a/junyiacademy.org/file/d/1jHFxKur5PKpMP6H-IyNFBVcsXT3a6gWw/view?usp=drivesdk,doc,康軒六上第一課朱子治家格言選  回饋單
段淑如老師研習紀錄 104,,,https://drive.google.com/a/junyiacademy.org/file/d/1TSGaYcZcB5jlhmu4KI_ydo3i50icet_O/view?usp=drivesdk,docx,"【奉 親愛的段老師之命】
一、段老師特別要跟親愛的溫老師喊話：研習本該4點結束，但雲林的老師為了聽段老師講《注音符號教學的祕訣》，無不聚精會神、眼睛閃閃發亮的聽到5點才肯回家！
二、附上今天馬達聆聽研習的打字筆記，一定要配合段老師的 ppt，才看得懂喔！如果看不懂，明天趕快來雲林聽段老師分享吧！
三、斗南國小是用高科技的跑馬燈去車站迎接段老師的，超前衛的啊！"
104五上翰林第五課棉花上的沉睡者,,,https://drive.google.com/a/junyiacademy.org/file/d/1sH773ghPVJPnFvfIVeNV2jU-Tl6Vb2Wv/view?usp=drivesdk,doc,"104五上翰林版學習單
我已經準備1-5課
但還要微調
這份學習單模仿許多老師的風格
從有生有,再修改.我想會比較快
提供大家參考
第五課學習單"
104五上翰林第四課黑白間的光彩,,,https://drive.google.com/a/junyiacademy.org/file/d/1Hy716HQjeqCMrjzQVLSBRu-hFEsUPaF5/view?usp=drivesdk,doc,"104五上翰林版學習單
我已經準備1-5課
但還要微調
這份學習單模仿許多老師的風格
從有生有,再修改.我想會比較快
提供大家參考
第四課學習單"
104五上翰林第三課一池子的綠,,,https://drive.google.com/a/junyiacademy.org/file/d/18U-aDNjsTS9uOF3kLAeJoTivoSJd9b-w/view?usp=drivesdk,doc,"104五上翰林版學習單
我已經準備1-5課
但還要微調
這份學習單模仿許多老師的風格
從有生有,再修改.我想會比較快
提供大家參考
第三課學習單"
104五上翰林第二課湖邊散步,,,https://drive.google.com/a/junyiacademy.org/file/d/1cZOeBFZtmkJV4-7pB18WLjJp9JSo227D/view?usp=drivesdk,doc,"104五上翰林版學習單
我已經準備1-5課
但還要微調
這份學習單模仿許多老師的風格
從有生有,再修改.我想會比較快
提供大家參考
第二課學習單"
104五上翰林第一課貝殼砂,,,https://drive.google.com/a/junyiacademy.org/file/d/1JaXNbkmrkHXd2_iHCqf6bEEVNQa-Jvn1/view?usp=drivesdk,doc,"104五上翰林版學習單
我已經準備1-5課
但還要微調
這份學習單模仿許多老師的風格
從有生有,再修改.我想會比較快
提供大家參考
第一課學習單"
104五上翰林文本分析,,,https://drive.google.com/a/junyiacademy.org/file/d/1hq6-9skME8dIr1ochEzNKfcSKVUBd_k0/view?usp=drivesdk,doc,"104五上翰林版1-5課文本分析
提供大家參考"
翰林四上說明文,,,https://drive.google.com/a/junyiacademy.org/file/d/1GMLsHS7hCmlR_XtfpxqiDXd5ZzKxcrcC/view?usp=drivesdk,docx,翰林四上說明文表格整理
20150813六甲上學期預習A本,,,https://drive.google.com/a/junyiacademy.org/file/d/1NBt2BpIQMhaRmJbGPsUEt5hnCmfl7yAL/view?usp=drivesdk,docx,"版本：翰林六上國語1-統整活動2；翰林數單元1-5。
說明：
1、必須安裝「教育部標準楷書」字體，排版才不會亂掉。
2、預習制在此班已推行一年，習慣已建立，故題目難度有提升一點點。
3、鼓勵學生寫，錯沒關係，上課時就可提出疑問。

嗯…獻醜"
康軒國語三上預習單1 (1),,,https://drive.google.com/a/junyiacademy.org/file/d/1gTMZmRKnDHNoVAoqzMZA3PA-GP2R0IMN/view?usp=drivesdk,doc,新增5~7課及閱讀開門一的預習單
情緒卡(佩真)2,,,https://drive.google.com/a/junyiacademy.org/file/d/1Izc-Jtsot1FyFCB2nuz5ygpcFjOrGDEC/view?usp=drivesdk,pptx,"增加""苦惱"""
人格特質卡(佩真),,,https://drive.google.com/a/junyiacademy.org/file/d/1WwLSwEXA6Xo2j2DF8Qzw3TwmwRX5YAzO/view?usp=drivesdk,pptx,"修改冷血無情---冷酷無情，並變更圖片
修改慈悲為懷---富同情心"
修正座位牌教學,,,https://drive.google.com/a/junyiacademy.org/file/d/1cL3D67fIkgAd3IE7lf-ygjJD6SA8ukIf/view?usp=drivesdk,pdf,我發現有些地方說不清楚~重新打~新版本的教學應該會比較清楚~
教師及學生各類教學及學習資源---新1040815,,,https://drive.google.com/a/junyiacademy.org/file/d/1C-BWUC0p5durIXtxxP11JMczbCKIwui4/view?usp=drivesdk,doc,"教師及學生各類教學及學習資源20150815第四版
讓【老師上課輕鬆，學生免費學習】歡迎轉貼分享
苗栗縣文苑國小許嘉勳"
經緯度與臺灣的地理位置學習單,,,https://drive.google.com/a/junyiacademy.org/file/d/1ZLK1o5PkLZPhC6hlkRWpK3KEVnI_b-Ak/view?usp=drivesdk,doc,經緯度與臺灣的地理位置學習單(改版學習單)
指導學生學習製作課堂筆記以臺灣的地理位置為例,,,https://drive.google.com/a/junyiacademy.org/file/d/1DUGQvAKMa5qCfIzyscjepfo6CEaEAens/view?usp=drivesdk,doc,指導學生學習製作課堂筆記以臺灣的地理位置為例(教案簡案)
小五上 第三單元 ,,,https://drive.google.com/a/junyiacademy.org/file/d/16tAl3L9kGzGDJkVnPqqLGf8SfxKZjnla/view?usp=drivesdk,doc,"許茹菁 Beloved Weng  LihRong Yan  
請看這裡喔"
迷糊怪-阿茲海默症,,,https://drive.google.com/a/junyiacademy.org/file/d/1F2M_-Ns8f46yRB0TeV9DAHAQSaUFvnSz/view?usp=drivesdk,pptx,作者:圖文不符
配合五下南一社會科課程學習加分學習單(服裝設計),,,https://drive.google.com/a/junyiacademy.org/file/d/1V39JHo5EKGjLV0EG2Jl5nE8GyMeI51cR/view?usp=drivesdk,doc,配合五下南一社會課程加分學習單(原民圖騰服裝設計)
104翰林三上課本封面故事,,,https://drive.google.com/a/junyiacademy.org/file/d/1-R_jDQrnuAh6AzoN2x42TpArT83rvpue/view?usp=drivesdk,docx,翰林三上國語封面故事創意寫作
６０３寒假作業小說可以這樣寫,,,https://drive.google.com/a/junyiacademy.org/file/d/1avyD3mZ8rpCfVe2gsv6Gd87-TNPsTSiJ/view?usp=drivesdk,pptx,"［國語］［作業］［小說寫作引導單］
內有完整的小說寫作引導，讓學生先自行（每個周末規定閱讀的章節）讀完《故事可以這樣寫》，之後，再依照引導單「重讀」《故事可以這樣寫》。第二次閱讀時，《故事可以這樣寫》就成了學生的「工具書」。

提供大家參考，從這個暑假就能開始做。"
